#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abbeville;Abbeville;Abbeville;Abbeville;;Abbeville;;;;;;;;;x
b_abbeycwmhir;Abbeycwmhir;Abbeycwmhir;Abbeycwmhir;;Abbeycwmhir;;;;;;;;;x
b_abbeydorney;Abbeydorney;Abbeydorney;Abbeydorney;;Abbeydorney;;;;;;;;;x
b_aberaeron;Aberaeron;Aberaeron;Aberaeron;;Aberaeron;;;;;;;;;x
b_abermagwr;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;;x
b_aberystwyth;Aberystwyth;Aberystwyth;Aberystwyth;;Aberystwyth;;;;;;;;;x
b_achilleio;Achilleio;Achilleio;Achilleio;;Achilleio;;;;;;;;;x
b_ailly;Ailly;Ailly;Ailly;;Ailly;;;;;;;;;x
b_alassio;Alassio;Alassio;Alassio;;Alassio;;;;;;;;;x
b_alghero;Alghero;Alghero;Alghero;;Alghero;;;;;;;;;x
b_alighieri;Alighieri;Alighieri;Alighieri;;Alighieri;;;;;;;;;x
b_alpunte;Alpunte;Alpunte;Alpunte;;Alpunte;;;;;;;;;x
b_amalfito;di Amalfi;di Amalfi;di Amalfi;;di Amalfi;;;;;;;;;x
b_amalfito_adj;Amalfitane;Amalfitane;Amalfitane;;Amalfitane;;;;;;;;;x
b_amersham;Amersham;Amersham;Amersham;;Amersham;;;;;;;;;x
b_andenne;Andenne;Andenne;Andenne;;Andenne;;;;;;;;;x
b_apricale;Apricale;Apricale;Apricale;;Apricale;;;;;;;;;x
b_arbog;Árborg;Árborg;Árborg;;Árborg;;;;;;;;;x
b_arborea;Arborea;Arborea;Arborea;;Arborea;;;;;;;;;x
b_arcola;Arcola;Arcola;Arcola;;Arcola;;;;;;;;;x
b_arenzano;Arenzano;Arenzano;Arenzano;;Arenzano;;;;;;;;;x
b_ascolipiceno;Ascoli Piceno;Ascoli Piceno;Ascoli Piceno;;Ascoli Piceno;;;;;;;;;x
b_aspet;Aspet;Aspet;Aspet;;Aspet;;;;;;;;;x
b_assesse;Assesse;Assesse;Assesse;;Assesse;;;;;;;;;x
b_aulne;Aulne;Aulne;Aulne;;Aulne;;;;;;;;;x
