#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1438;Ibiza;Ibiza;Ibiza;;Ibiza;;;;;;;;;x
PROV1439;Nordulandvestra;Nordulandvestra;Nordulandvestra;;Nordulandvestra;;;;;;;;;x
PROV1440;Nordulandeystra;Nordulandeystra;Nordulandeystra;;Nordulandeystra;;;;;;;;;x
PROV1441;Coast of Iceland;Coast of Iceland;Coast of Iceland;;Coast of Iceland;;;;;;;;;x
PROV1442;Coast of Iceland;Coast of Iceland;Coast of Iceland;;Coast of Iceland;;;;;;;;;x
PROV1443;Bolgatanga;Bolgatanga;Bolgatanga;;Bolgatanga;;;;;;;;;x
PROV1444;Bamako;Bamako;Bamako;;Bamako;;;;;;;;;x
PROV1445;Niono;Niono;Niono;;Niono;;;;;;;;;x
PROV1446;Soumpi;Soumpi;Soumpi;;Soumpi;;;;;;;;;x
PROV1447;Tagant;Tagant;Tagant;;Tagant;;;;;;;;;x
PROV1448;Kirana;Kirana;Kirana;;Kirana;;;;;;;;;x
PROV1449;Yaresna;Yaresna;Yaresna;;Yaresna;;;;;;;;;x
PROV1450;Morfil;Morfil;Morfil;;Morfil;;;;;;;;;x
PROV1451;Waalo;Waalo;Waalo;;Waalo;;;;;;;;;x
PROV1452;Linguere;Linguere;Linguere;;Linguere;;;;;;;;;x
PROV1453;Matam;Matam;Matam;;Matam;;;;;;;;;x
PROV1454;Tabacounda;Tabacounda;Tabacounda;;Tabacounda;;;;;;;;;x
PROV1455;Cayor;Cayor;Cayor;;Cayor;;;;;;;;;x
PROV1456;Saloum;Saloum;Saloum;;Saloum;;;;;;;;;x
PROV1457;Baol;Baol;Baol;;Baol;;;;;;;;;x
PROV1458;Ziguincha;Ziguincha;Ziguincha;;Ziguincha;;;;;;;;;x
PROV1459;Noukachott;Noukachott;Noukachott;;Noukachott;;;;;;;;;x
PROV1460;Abu Khatar;Abu Khatar;Abu Khatar;;Abu Khatar;;;;;;;;;x
PROV1461;Al Luyun;Al Luyun;Al Luyun;;Al Luyun;;;;;;;;;x
