#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_pergamon;Pergamon;Pergame;;;;;;;;;;;;x
k_pergamon_adj;Pergamonian;Pergaménien;;;;;;;;;;;;x
k_sami;Sames;Sames;;;;;;;;;;;;x
k_sami_adj;Sami;Samot;;;;;;;;;;;;x
k_dal;Dalsland;Dalsland;;;;;;;;;;;;x
k_dal_adj;Glorious Dalslandic;Daslandique;;;;;;;;;;;;x
d_magna_graecia;Magna Graecia;Grande-Grèce;;;;;;;;;;;;x
d_magna_graecia_adj;Magna Graecian;de Grande-Grèce;;;;;;;;;;;;x
d_pfalz;The Palatinate;Palatinat;;;;;;;;;;;;x
d_pfalz_adj;Palatinate;Palatin;;;;;;;;;;;;x
k_hansa;Hanseatic League;Ligue Hanséatique;;;;;;;;;;;;x
k_hansa_adj;Hanseatic;Hanséatique;;;;;;;;;;;;x
d_foix;Foix;Foix;;;;;;;;;;;;x
d_foix_adj;Foixian;Fuxéen;;;;;;;;;;;;x
d_waterford;Waterford;Waterford;;;;;;;;;;;;x
d_waterford_adj;Waterfordian;Waterfordien;;;;;;;;;;x;;
d_tyrone;Tyrone;Tyrone;;;;;;;;;;x;;
d_tyrone_adj;Tyronian;Tyronais;;;;;;;;;;x;;
k_bhutan;Bhutan;Bhutan;;;;;;;;;;x;;
k_bhutan_adj;Thunder Dragon;Dragon du Tonerre;;;;;;;;;;x;;
d_balearic;Baleares;Baleares;;;;;;;;;;x;;
*;;;;;;;;;;;;;;x
