#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
gaulish_pagan;Gaulish;Gaulish;Gaulish;;Gaulish;;;;;;;;;x;;
gaulish_pagan_reformed;Revived Gaulish;Revived Gaulish;Revived Gaulish;;Revived Gaulish;;;;;;;;;x;;
gaulish_pagan_DESC;The old pagan faith of the Gauls.  This faith died out with Gaulish culture, but has reappeared in recent times.  Since most traces of Gaulish writing were destroyed, much the pantheon and the Gods' specific roles are lost to history.  Important Gods include Taranis, akin to Thor, Camulus, the God of War and Brigantia, the Goddess of Victory.  Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! The Gaulish Pagan faith can be Reformed;The old pagan faith of the Gauls.  This faith died out with Gaulish culture, but has reappeared in recent times.  Since most traces of Gaulish writing were destroyed, much the pantheon and the Gods' specific roles are lost to history.  Important Gods include Taranis, akin to Thor, Camulus, the God of War and Brigantia, the Goddess of Victory.  Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! The Gaulish Pagan faith can be Reformed;The old pagan faith of the Gauls.  This faith died out with Gaulish culture, but has reappeared in recent times.  Since most traces of Gaulish writing were destroyed, much the pantheon and the Gods' specific roles are lost to history.  Important Gods include Taranis, akin to Thor, Camulus, the God of War and Brigantia, the Goddess of Victory.  Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! The Gaulish Pagan faith can be Reformed;;The old pagan faith of the Gauls.  This faith died out with Gaulish culture, but has reappeared in recent times.  Since most traces of Gaulish writing were destroyed, much the pantheon and the Gods' specific roles are lost to history.  Important Gods include Taranis, akin to Thor, Camulus, the God of War and Brigantia, the Goddess of Victory.  Defining features in-game:\n§Y*§! Can raid neighbors for loot\n§Y*§! Rulers are limited to Gavelkind Succession\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! The Gaulish Pagan faith can be Reformed;;;;;;;;;x;;
gaulish_pagan_reformed_DESC;The reformed Gaulish faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Druid, who can be vassalized by secular rulers. Defining features in-game:\n§Y*§! There is always a High Druid, even if unlanded\n§Y*§! Can raid neighbors for loot\n§Y*§! The High Druid can call Great Holy Wars;The reformed Gaulish faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Druid, who can be vassalized by secular rulers. Defining features in-game:\n§Y*§! There is always a High Druid, even if unlanded\n§Y*§! Can raid neighbors for loot\n§Y*§! The High Druid can call Great Holy Wars;The reformed Gaulish faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Druid, who can be vassalized by secular rulers. Defining features in-game:\n§Y*§! There is always a High Druid, even if unlanded\n§Y*§! Can raid neighbors for loot\n§Y*§! The High Druid can call Great Holy Wars;;The reformed Gaulish faith has a Holy Book with a creation myth, chapters on the gods and a book of prophesies. The church also has a standardized liturgy and a formal church hierarchy led by the High Druid, who can be vassalized by secular rulers. Defining features in-game:\n§Y*§! There is always a High Druid, even if unlanded\n§Y*§! Can raid neighbors for loot\n§Y*§! The High Druid can call Great Holy Wars;;;;;;;;;x;;
d_gaulish_pagan_reformed;Gaulish Druids;Gaulish;Gaulish;;Gaulish;;;;;;;;;x;;
d_gaulish_pagan_reformed_adj;Gaulish;Gaulish;Gaulish;;Gaulish;;;;;;;;;x;;
king_gaulish_pagan;Overking;Overking;Overking;;Overking;;;;;;;;;x;;
king_female_gaulish_pagan;Overqueen;Overqueen;Overqueen;;Overqueen;;;;;;;;;x;;
duke_gaulish_pagan;Chief;Chief;Chief;;Chief;;;;;;;;;x;;
duke_female_gaulish_pagan;Chieftess;Chieftess;Chieftess;;Chieftess;;;;;;;;;x;;
