#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_abauj_adj_german;Neuburger;Neuburger;Neuburger;;Neuburger;;;;;;;;;x
c_albania_adj_armenian;Aghvankian;Aghvankian;Aghvankian;;Aghvankian;;;;;;;;;x
c_albany_adj_gaelic;Fiobhan;Fiobhan;Fiobhan;;Fiobhan;;;;;;;;;x
c_argyll_adj_gaelic;Ghàidheal;Ghàidheal;Ghàidheal;;Ghàidheal;;;;;;;;;x
c_argyll_adj_irish;Ghàidheal;Ghàidheal;Ghàidheal;;Ghàidheal;;;;;;;;;x
c_artois_adj_dutch;Artesiër;Artesiër;Artesiër;;Artesiër;;;;;;;;;x
c_bezhetsky_verh_adj_finno_ugric;Nevajärvian;Nevajärvian;Nevajärvian;;Nevajärvian;;;;;;;;;x
c_brycheiniog_adj_english;Brecknockan;Brecknockan;Brecknockan;;Brecknockan;;;;;;;;;x
c_brycheiniog_adj_norman;Brecknockan;Brecknockan;Brecknockan;;Brecknockan;;;;;;;;;x
c_brycheiniog_adj_saxon;Brecknockan;Brecknockan;Brecknockan;;Brecknockan;;;;;;;;;x
c_buchan_adj_gaelic;Bochain;Bochain;Bochain;;Bochain;;;;;;;;;x
c_caithness_adj_gaelic;Gallaibh;Gallaibh;Gallaibh;;Gallaibh;;;;;;;;;x
c_caithness_adj_north_germanic;Katanesan;Katanesan;Katanesan;;Katanesan;;;;;;;;;x
c_carrick_adj_gaelic;Na Carraige;Na Carraige;Na Carraige;;Na Carraige;;;;;;;;;x
c_chelminskie_adj_german;Kulmerlander;Kulmerlander;Kulmerlander;;Kulmerlander;;;;;;;;;x
c_chester_adj_welsh;Legionan;Legionan;Legionan;;Legionan;;;;;;;;;x
c_clydesdale_adj_gaelic;Clhluaidh;Clhluaidh;Clhluaidh;;Clhluaidh;;;;;;;;;x
c_cornouaille_adj_breton;Kernevan;Kernevan;Kernevan;;Kernevan;;;;;;;;;x
c_cornwall_breton;Veurian;Veurian;Veurian;;Veurian;;;;;;;;;x
c_cornwall_cornish;Kernowan;Kernowan;Kernowan;;Kernowan;;;;;;;;;x
c_cornwall_welsh;Cernywan;Cernywan;Cernywan;;Cernywan;;;;;;;;;x
c_cumberland_adj_gaelic;Cuimrighe;Cuimrighe;Cuimrighe;;Cuimrighe;;;;;;;;;x
c_cumberland_adj_saxon;Cumbrian;Cumbrian;Cumbrian;;Cumbrian;;;;;;;;;x
c_cyfeiliog_adj_english;Montgomerian;Montgomerian;Montgomerian;;Montgomerian;;;;;;;;;x
c_cyfeiliog_adj_norman;Montgomerian;Montgomerian;Montgomerian;;Montgomerian;;;;;;;;;x
c_cyfeiliog_adj_saxon;Montgomerian;Montgomerian;Montgomerian;;Montgomerian;;;;;;;;;x
c_dauphine_viennois_adj;Dauphinoise;Dauphinoise;Dauphinoise;;Dauphinoise;;;;;;;;;x
c_derbent_adj_alan;Humrajan;Humrajan;Humrajan;;Humrajan;;;;;;;;;x
c_derby_adj_north_germanic;Djurabyan;Djurabyan;Djurabyan;;Djurabyan;;;;;;;;;x
c_devon_breton;Devnantian;Devnantian;Devnantian;;Devnantian;;;;;;;;;x
c_devon_cornish;Dewnan;Dewnan;Dewnan;;Dewnan;;;;;;;;;x
c_devon_welsh;Dyfnaintian;Dyfnaintian;Dyfnaintian;;Dyfnaintian;;;;;;;;;x
c_dorylaion_adj_turkish;Kütahyan;Kütahyan;Kütahyan;;Kütahyan;;;;;;;;;x
c_dyfed_adj_english;Pembrokan;Pembrokan;Pembrokan;;Pembrokan;;;;;;;;;x
c_dyfed_adj_norman;Pembrokan;Pembrokan;Pembrokan;;Pembrokan;;;;;;;;;x
c_dyfed_adj_north_germanic;Kaldoyan;Kaldoyan;Kaldoyan;;Kaldoyan;;;;;;;;;x
c_dyfed_adj_saxon;Pembrokan;Pembrokan;Pembrokan;;Pembrokan;;;;;;;;;x
c_dyrrachion_adj_italian;Durazzan;Durazzan;Durazzan;;Durazzan;;;;;;;;;x
c_dyrrachion_adj_sicilian;Durazzan;Durazzan;Durazzan;;Durazzan;;;;;;;;;x
c_esztergom_adj_german;Granian;Granian;Granian;;Granian;;;;;;;;;x
c_feher_adj_german;Karlsburger;Karlsburger;Karlsburger;;Karlsburger;;;;;;;;;x
c_fejer_adj_german;Weißenburger;Weißenburger;Weißenburger;;Weißenburger;;;;;;;;;x
c_galindia_adj_german;Masurian;Masurian;Masurian;;Masurian;;;;;;;;;x
c_galindia_adj_polish;Masurian;Masurian;Masurian;;Masurian;;;;;;;;;x
c_galloway_adj_gaelic;Ghaidhealaibh;Ghaidhealaibh;Ghaidhealaibh;;Ghaidhealaibh;;;;;;;;;x
c_glamorgan_adj_welsh;Glywysinger;Glywysinger;Glywysinger;;Glywysinger;;;;;;;;;x
c_gnieznienskie_adj_german;Gnesener;Gnesener;Gnesener;;Gnesener;;;;;;;;;x
c_gowrie_adj_gaelic;Gobharaidh;Gobharaidh;Gobharaidh;;Gobharaidh;;;;;;;;;x
c_guines_adj_dutch;Giezener;Giezener;Giezener;;Giezener;;;;;;;;;x
